date_iso;time_berlin;symbol;price_eur;price_usd;price_gbp;price_aed;price_ars;price_aud;price_bdt;price_bhd;price_bmd;price_brl;price_cad;price_chf;price_clp;price_cny;price_czk;price_dkk;price_gel;price_hkd;price_huf;price_idr;price_ils;price_inr;price_jpy;price_krw;price_kwd;price_lkr;price_mmk;price_mxn;price_myr;price_ngn;price_nok;price_nzd;price_php;price_pkr;price_pln;price_rub;price_sar;price_sek;price_sgd;price_thb;price_try;price_twd;price_uah;price_vnd;price_xag;price_xau;price_zar
2024-01-01;00:00;BTC;40004,0369;44152,2269;34654,19984927;162149,05329025;35674557,812931;64806,63864382;4851005,169503;16601,2373144;44152,2269;214169,20702383;58431,05707946;37083,01385104;39034542,280021;313524,9632169;986449,0533998;297727,29643208;118645,86412568;345252,75346724;15271813,762441;681533774,4284;159839,89182338;3676997,456232;6244449,450467;57113996,151033;13549,43539107;14323865,450898;92572208,052154;747996,12158097;202981,03272737;40078742,446206;448944,25834189;69787,00983814;2446828,1103442;12426202,738736;173253,3383556;3977674,121421;165570,850875;442325,83952958;58267,69383993;1514597,9915776;1302888,0635921;1352691,7755353;1675003,0319053;1071795307,9975;1831,87589408;21,19306891;813681,3895401
2024-01-02;00:00;BTC;41100,1973;44977,0381;35416,71888146;165178,17242225;36417008,208808;66120,74371081;4942976,48719;16911,3663256;44977,0381;219128,1296232;59653,04563203;38024,93732088;39643211,151721;320191,5342339;1008924,9186592;304836,37342656;120803,82663279;351684,45631152;15620975,102511;695165100,8736;162960,80444392;3749285,896016;6375495,150675;58493537,589812;13818,29541546;14470912,238294;94278168,642934;764893,00304003;206840,40281428;40588178,722202;460191,56072777;71441,52731804;2496045,7063976;12670931,173532;177789,73390549;4060526,999668;168663,892875;454618,90570718;59482,13288725;1541183,1875346;1332579,6848268;1383178,8526893;1708722,6544571;1093436773,2491;1869,69547382;21,58897829;829893,81850215
2024-01-03;00:00;BTC;39199,1005;42830,9042;33875,39044082;157296,4956745;34758991,994468;63398,30439684;4706688,062538;16104,4199792;42830,9042;210269,75798906;57046,48130398;36446,52961995;37853096,513876;305761,25890296;965151,5952428;291944,00920804;115030,95940994;334916,2553919;14917147,314776;663836184,1958;156045,83327186;3572097,41028;6107686,93892;55992412,751618;13171,35965958;13777416,954014;89821117,506862;730463,93876932;197955,87303156;38360214,419604;442623,13018364;68430,93564034;2380070,5154898;12096303,964164;170484,13107768;3893757,500822;160615,89075;437162,18989814;56810,91133088;1470641,9266112;1273148,627345;1324288,7269598;1628602,3013008;1043103840,8868;1798,04135832;20,98714306;798847,76041504
2024-01-04;00:00;BTC;40405,0054;44230,1626;34913,52114994;162435,2721485;35877296,39299;65730,44463986;4856914,155106;16630,5411376;44230,1626;217262,98170746;58989,76785962;37656,67583439;39170674,300186;316135,0871835;996992,0951666;301804,5145011;118709,33340214;345680,8358003;15342558,802688;685965591,7634;161444,51650626;3686584,05271;6356316,667246;57902590,462912;13598,12118974;14235477,83281;92689171,046186;753151,2087528;204980,26555344;40384792,263556;457273,5360401;70768,26016;2455614,3973894;12502097,760516;175965,27888784;4040425,35351;165863,10975;453107,05472318;58746,50196532;1524082,9428708;1316378,0993012;1368923,53247;1684461,5124584;1078331364,188;1889,07024465;21,67277967;825799,2508233
2024-01-05;00:00;BTC;40297,2623;44144,4513;34807,01696102;162120,49739925;35851474,678782;65828,20577856;4848826,530792;16598,3136888;44144,4513;216329,88359565;58932,8424855;37589,44172646;39243092,872161;315716,70125247;994530,3433377;301210,83455529;118470,46395381;345086,00470236;15279718,928469;685033595,2734;162045,45183204;3676349,904264;6392557,992753;57989034,116706;13577,06744183;14216720,541165;92582391,933438;750221,70650811;205042,14739824;39662023,714998;455517,76407444;70776,79876929;2450988,2250786;12467275,936146;175633,11394218;4021559,51343;165541,692375;452414,40914805;58690,04800335;1527486,3038826;1315813,6598991;1366314,9121863;1680579,260991;1075976855,9862;1911,01329678;21,63078114;825969,17049378
2024-01-06;00:00;BTC;40121,5495;43951,9631;34661,39713992;161413,58448475;35695147,312034;65593,90973044;4827683,626904;16525,9381256;43951,9631;215404,17595679;58702,24191636;37433,00793301;39071976,637007;314375,20646537;990457,4884585;300033,68090584;117940,69778254;343590,07633794;15215730,105589;682134467,312;161479,5124294;3659879,967337;6368199,933559;57774855,49495;13519,18432993;14154729,716355;92178694,131106;747042,72641808;204249,16772201;39489080,766826;453790,83341857;70507,73920502;2440520,6550537;12396651,192355;175007,92667158;4002705,279517;164819,861625;450775,72874991;58451,71572669;1522188,3380423;1310603,5876789;1360576,9697236;1673690,754848;1071373052,5256;1903,99904149;21,53646192;823048,85620691
2024-01-07;00:00;BTC;40111,9974;43881,7466;34603,3900989;161155,7143885;35638121,683724;65502,28314982;4819971,046544;16499,5367216;43881,7466;215081,99278524;58608,46075896;37372,32830936;39009556,275002;313864,1925565;988919,0413776;299571,90768888;117747,89065178;343041,16587084;15191421,855454;681044707,232;161221,5370084;3653594,221916;6359342,717272;57683433,540632;13497,58643669;14132116,49253;92031431,874316;745849,27061088;203922,86462486;39425994,050236;453118,52721694;70399,48607038;2436665,6252048;12373774,906268;174732,72678654;3996310,662862;164556,54975;450125,79209882;58362,722978;1519844,293491;1308685,3288518;1358534,9929894;1671060,7922746;1069661455,1216;1901,39608018;21,50205583;821856,84389674
2024-01-08;00:00;BTC;42869,2619;46944,0012;36950,09278453;172401,844407;38187067,216152;70120,25459244;5157737,411844;17650,9444512;46944,0012;229326,14026212;62764,1296044;39941,364541;42099849,716172;335842,07898492;1054221,4349484;320355,25298904;125917,89441876;366933,09097968;16214927,454492;728852562,6312;173810,164443;3906210,339852;6793266,413652;61816330,220172;14437,15812905;15153993,027372;98448612,11658;793480,36908324;218256,74477916;42528448,447128;486227,18682912;75331,03872564;2608396,4826768;13226941,778112;186691,59837228;4263454,188984;176040,0045;481870,78351776;62463,68799672;1636984,2658452;1402170,3718428;1452635,1731328;1789317,5497392;1144447805,2548;2033,61413198;23,00256059;878045,29284492
2024-01-09;00:00;BTC;42162,6534;46088,4188;36228,26248193;169259,718043;37549156,564736;68833,0534778;5066038,994496;17329,2454688;46088,4188;225118,8816286;61624,82477748;39191,74781077;41918799,551164;329900,9017704;1035330,2399232;314438,237263;123664,44532416;360402,21733224;15941984,06292;715707055,5452;171379,7853078;3834095,559972;6649176,180276;60693377,833532;14168,96259168;14878263,357016;96647875,107788;778737,57709608;214136,01142856;41890224,731508;477918,46758848;73875,12649452;2571226,7964332;12999238,52254;183026,32873856;4173306,32234;172831,5705;472917,87414868;61302,20584588;1609638,02659;1378919,4020772;1427173,9765608;1759932,3602968;1123635650,344;2004,38533361;22,58332521;859595,0990388
2024-01-10;00:00;BTC;42470,4079;46608,1898;36656,4091139;171168,5770405;38005716,208614;69641,95719916;5123638,304714;17524,6793648;46608,1898;228044,55105344;62347,77549546;39718,10110187;42813350,986484;333966,32319292;1046773,3347182;317989,03572948;125119,6855181;364741,71091786;16117578,114738;724803959,5798;174776,05093102;3877335,309462;6752594,538224;61466414,626342;14331,5522816;15060038,288176;97769067,579664;790586,75866352;216495,041621;42978810,060274;482585,85800818;74736,2323443;2614486,406831;13157025,898642;184862,06320374;4185881,525938;174780,71175;477715,30217408;62054,14389972;1630587,520153;1395961,8926998;1447510,5506186;1780619,2831192;1135981409,9954;2027,4562563;22,838013;869489,76317594
