date_iso;time_berlin;symbol;price_eur;price_usd;price_gbp;price_aed;price_ars;price_aud;price_bdt;price_bhd;price_bmd;price_brl;price_cad;price_chf;price_clp;price_cny;price_czk;price_dkk;price_gel;price_hkd;price_huf;price_idr;price_ils;price_inr;price_jpy;price_krw;price_kwd;price_lkr;price_mmk;price_mxn;price_myr;price_ngn;price_nok;price_nzd;price_php;price_pkr;price_pln;price_rub;price_sar;price_sek;price_sgd;price_thb;price_try;price_twd;price_uah;price_vnd;price_xag;price_xau;price_zar
2025-06-19;02:00;TON;2,5600638;2,94;2,1884772;10,79715;3392,8188;4,536126;360,0618;1,10544;2,94;16,152654;4,02486;2,4065958;2778,7116;21,12831;63,53046;19,092654;8,006796;23,101638;1032,5574;48039,6;10,262952;254,7216;427,182;4045,7634;0,9003456;882,9114;6166,1502;55,997004;12,510876;4550,0028;29,403528;4,897452;167,93868;836,6652;10,942974;230,79;11,025;28,279272;3,783486;96,23502;116,25348;86,98284;122,52744;76548,78;0,079674;0,000882;53,048772
2025-06-20;02:00;TON;2,5820586;2,97;2,2063239;10,907325;3445,1703;4,588353;363,4389;1,11672;2,97;16,31718;4,073058;2,4287769;2799,4032;21,33054;64,11933;19,264014;8,086419;23,336478;1040,391;48627,81;10,34451;257,5584;432,3429;4077,513;0,9095031;891,8019;6227,9712;56,659878;12,640914;4595,8968;29,862459;4,959603;169,88994;845,2026;11,031174;232,90146;11,1375;28,633473;3,820608;97,42491;117,65952;87,77835;124,1163;77383,35;0,0812295;0,000891;53,503659
2025-06-21;02:00;TON;2,5378012;2,92;2,168538;10,7237;3387,1708;4,510524;357,3204;1,09792;2,92;16,041896;4,004488;2,3879468;2752,2752;20,972316;63,01652;18,932696;7,949992;22,943608;1022,2044;47800,4;10,1689;253,2516;425,0936;4004,7508;0,8941332;876,7884;6123,1232;55,701628;12,424892;4519,138;29,365856;4,875524;167,00648;831,0028;10,835536;228,99224;10,95;28,156976;3,755412;95,77308;115,7196;86,3006;122,09396;76080,6;0,079862;0,000876;52,587448
2025-06-22;02:00;TON;2,415681;2,78;2,0642334;10,20955;3224,7722;4,294266;340,1886;1,04528;2,78;15,272764;3,81277;2,2730114;2620,3168;19,969018;59,99518;18,02274;7,568828;21,843572;973,1946;45508,6;9,68135;241,026;404,7124;3812,7422;0,8512638;834,7506;5829,5488;53,031002;11,829178;4303,1064;27,96263;4,642044;158,99932;791,4104;10,316024;218,0076;10,425;26,810598;3,575358;91,18122;110,17418;82,1629;116,24014;72432,9;0,076033;0,000834;50,066132
2025-06-23;02:00;TON;2,4254865;2,79;2,0756205;10,246275;3254,1444;4,340961;341,4681;1,04904;2,79;15,387687;3,834576;2,2804065;2640,3723;20,041407;60,30027;18,091755;7,596612;21,920472;979,2621;45867,6;9,697761;242,0325;409,4604;3845,0664;0,8546607;837,3627;5852,1087;53,523639;11,931156;4321,5984;28,222803;4,694454;160,08183;794,0898;10,368477;218,88945;10,4625;27,004689;3,596868;91,83285;110,72115;82,75419;116,78382;72760,41;0,0766971;0,000837;50,305374
2025-06-24;02:00;TON;2,505803;2,9;2,143158;10,65025;3399,612;4,48456;355,018;1,0904;2,9;15,94797;3,9817;2,355728;2739,282;20,80895;62,2833;18,7021;7,89119;22,7853;1010,215;47522,3;9,91568;250,502;422,646;3974,044;0,887197;870,725;6079,328;55,33142;12,36241;4486,996;29,31784;4,843;165,8394;825,862;10,70361;227,6036;10,875;27,83507;3,72418;95,0272;115,0169;85,7124;121,3737;75661,0;0,08033;0,00087;51,64494
2025-06-25;02:00;TON;2,4805152;2,88;2,115648;10,5768;3387,5424;4,4352;352,5696;1,08288;2,88;15,911712;3,953376;2,32488;2699,8272;20,647296;61,50816;18,513792;7,835904;22,629888;995,9616;47044,8;9,810144;247,9392;418,5792;3922,4736;0,8803872;863,4816;6040,1088;54,693792;12,212352;4461,3504;29,16576;4,784832;163,75392;820,944;10,553472;225,93888;10,8;27,45072;3,688128;94,01472;114,31584;84,73824;120,08448;75104,64;0,0796032;0,000864;51,1344
2025-06-26;02:00;TON;2,4252534;2,83;2,0686451;10,393175;3356,5498;4,343767;345,8826;1,06408;2,83;15,669993;3,876817;2,2741597;2647,6065;20,283176;60,08656;18,097001;7,691657;22,234744;970,8032;45967,69;9,607284;242,9272;410,0104;3844,5833;0,8643669;847,585;5925,4823;53,497471;11,973447;4369,8313;28,613847;4,681669;160,22328;805,5029;10,302332;221,81257;10,6125;26,851889;3,613627;91,98066;112,52929;82,63883;117,79875;73690,37;0,0785891;0,000849;50,163731
2025-06-27;02:00;TON;2,4270924;2,84;2,07036;10,4299;3368,1832;4,346336;347,048;1,06784;2,84;15,618864;3,881428;2,2739596;2654,1788;20,353996;60,05464;18,107556;7,717416;22,313596;968,582;46087,52;9,618512;243,0756;410,4936;3855,442;0,8672792;848,8192;5946,7044;53,58086;12,01036;4372,2368;28,6272;4,686284;160,58212;807,3552;10,28648;222,95136;10,65;26,932572;3,62242;92,46472;113,10016;82,62412;118,16388;73885,44;0,0784124;0,000852;50,527576
2025-06-28;02:00;TON;2,4352395;2,85;2,077365;10,466625;3380,043;4,361925;348,27;1,0716;2,85;15,66018;3,89481;2,2811685;2663,5245;20,430225;60,25755;18,17046;7,744305;22,392165;971,679;46249,8;9,65067;244,1025;411,996;3870,8985;0,87039;851,808;5967,6435;53,768385;12,05265;4387,347;28,725435;4,702785;161,14185;810,198;10,320135;223,7991;10,6875;27,031965;3,63546;92,8131;113,5269;82,91505;118,59705;74145,6;0,0786885;0,000855;50,729145
